"","rule","pgs_method","pop","mean_time","max_time","mean_mem","max_mem"
"1","ancestry_inference_i",NA,NA,676.6174,676.6174,1692.69,1692.69
"2","outlier_detection_i",NA,NA,9375.2679,9375.2679,4554.71,4554.71
"3","sample_report_i",NA,NA,482.0527,482.0527,38184.17,38184.17
"4","format_target_i",NA,NA,903.476859090909,1547.3769,9878.50909090909,18121.18
"5","prep_pgs_ptclump_i",NA,NA,62.3915307692308,105.9901,411.615384615385,486.67
"6","prep_pgs_dbslmm_i",NA,NA,546.522215384615,693.4567,1183.40769230769,1355.98
"7","prep_pgs_prscs_i",NA,NA,18227.0370923077,23988.0037,12080.0546153846,12719.21
"8","prep_pgs_megaprs_i",NA,NA,3237.09576153846,5060.0331,10153.6092307692,12507.88
"9","prep_pgs_lassosum_i",NA,NA,301.710407692308,453.6879,5238.58615384615,7715.12
"10","prep_pgs_ldpred2_i",NA,NA,2224.52016153846,3957.5276,20613.7630769231,25409.66
"11","prep_pgs_sbayesr_i",NA,NA,1548.3533,3252.2653,21566.8153846154,25948.7
"12","sumstat_prep_i",NA,NA,104.730430769231,274.1194,4415.43692307692,13246.37
"13","target_pgs_i","dbslmm","AFR",1813.44046153846,2949.3052,204.686153846154,220.23
"14","target_pgs_i","dbslmm","AMR",1631.27836153846,2959.8563,203.962307692308,219.95
"15","target_pgs_i","dbslmm","CSA",1641.64456153846,3252.6046,204.548461538462,219.68
"16","target_pgs_i","dbslmm","EAS",2084.57,2951.2536,204.202307692308,219.89
"17","target_pgs_i","dbslmm","EUR",3430.69310769231,4122.793,1128.38615384615,1144.3
"18","target_pgs_i","dbslmm","MID",1899.00127692308,2753.0842,204.023076923077,219.88
"19","target_pgs_i","lassosum","AFR",259.641676923077,582.2754,496.237692307692,620.41
"20","target_pgs_i","lassosum","AMR",111.526384615385,448.7621,493.164615384615,617.3
"21","target_pgs_i","lassosum","CSA",221.512030769231,655.6847,499.318461538462,623.86
"22","target_pgs_i","lassosum","EAS",157.067469230769,486.0027,495.058461538462,619.52
"23","target_pgs_i","lassosum","EUR",2600.36705384615,3390.7676,5976.81538461538,10002.4
"24","target_pgs_i","lassosum","MID",171.894861538462,485.5498,491.611538461538,615.36
"25","target_pgs_i","ldpred2","AFR",247.400476923077,303.9895,505.231538461538,938.03
"26","target_pgs_i","ldpred2","AMR",262.539638461538,489.0538,527.541538461538,1961.25
"27","target_pgs_i","ldpred2","CSA",282.944292307692,583.7977,671.810769230769,2071.04
"28","target_pgs_i","ldpred2","EAS",259.883084615385,638.9301,448.887692307692,2088.58
"29","target_pgs_i","ldpred2","EUR",3558.46347692308,4446.323,11531.9038461538,17074.12
"30","target_pgs_i","ldpred2","MID",231.6637,421.0869,324.686923076923,439.3
"31","target_pgs_i","megaprs","AFR",318.478538461538,679.1817,865.322307692308,2249.03
"32","target_pgs_i","megaprs","AMR",294.241746153846,642.6748,675.031538461539,2236.59
"33","target_pgs_i","megaprs","CSA",399.802638461538,647.2263,1149.09384615385,2108.77
"34","target_pgs_i","megaprs","EAS",307.554384615385,495.1985,849.906923076923,2127.82
"35","target_pgs_i","megaprs","EUR",5037.28135384615,7071.8143,26727.4130769231,30218.17
"36","target_pgs_i","megaprs","MID",247.510546153846,437.3285,453.19,1052.48
"37","target_pgs_i","prscs","AFR",151.548353846154,449.5898,262.286923076923,280.1
"38","target_pgs_i","prscs","AMR",154.921638461538,488.0384,259.276153846154,277.04
"39","target_pgs_i","prscs","CSA",187.086746153846,488.1356,262.046153846154,279.65
"40","target_pgs_i","prscs","EAS",156.087461538462,488.0373,261.707692307692,279.56
"41","target_pgs_i","prscs","EUR",601.7603,1262.902,1189.03846153846,1210.61
"42","target_pgs_i","prscs","MID",159.700953846154,468.6669,258.07,275.83
"43","target_pgs_i","ptclump","AFR",137.113306666667,490.6617,153.524666666667,160.75
"44","target_pgs_i","ptclump","AMR",45.3159133333333,196.3803,151.432666666667,159.37
"45","target_pgs_i","ptclump","CSA",68.4581266666667,241.7003,153.998,160.52
"46","target_pgs_i","ptclump","EAS",70.53902,447.9361,152.555333333333,160.48
"47","target_pgs_i","ptclump","EUR",179.8456,585.737,1134.93333333333,1300.23
"48","target_pgs_i","ptclump","MID",127.29966,487.7203,150.701333333333,159.12
"49","target_pgs_i","sbayesr","AFR",213.057961538462,426.1275,180.407692307692,189.64
"50","target_pgs_i","sbayesr","AMR",218.736315384615,366.0717,180.024615384615,189.07
"51","target_pgs_i","sbayesr","CSA",234.144853846154,520.3132,180.025384615385,188.55
"52","target_pgs_i","sbayesr","EAS",221.787476923077,426.4061,179.956923076923,189.18
"53","target_pgs_i","sbayesr","EUR",1379.05396153846,1764.0898,1098.81538461538,1108.95
"54","target_pgs_i","sbayesr","MID",224.8598,366.7122,179.831538461538,188.46
